Mouse,Group,age_days,bw,bwSD,%twc,%rwc,Thresh_%rwc,Hearing_loss,Menace_reflex,Piloerection,Breathing_rate_depth,Kyphosis,Tail_stiffening,Mouse_grimace_scale,Coat_condition,Loss_of_fur_colour,Forelimb_grip_strength,Body_condition_score,temp,Vision_loss,Gait_disorders,Eye_discharge_swelling,Distended_abdomen,Body_Weight_Score,Alopecia,malocclusion,Tremor,Microphthalmia,Loss_of_whiskers,Tumours,Cataracts,Rectal_prolapse,Diarrhoea,Corneal_capacity,Vestibular_disturbance,Dermatitis,Nasal_discharge,Vaginal_uterine_penile_prolapse,FI,frightAge,groupname,afraidScore
A-1,Con,823.9999999,48.4,-3.731608725,-3.777335984,0.207039337,0,1.0,1.0,1,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.25,0.5,0.5,0.5,1.0,0.75,0.5,0.5,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.419354839,906.5254557010281,Con,99.48259835982417
A-101,Con,821.9999998,35.3,0.0116496,-30.51181102,-16.74528302,1,1.0,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.306451613,910.4431049600132,Con,102.14873966424624
A-21,Con,821.9999998,38.8,-0.988457586,-8.274231678,-8.274231678,0,1.0,1.0,1,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.75,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.346774194,920.5809338621036,Con,45.634234637296274
A-23,Con,821.9999998,47.1,-3.360140342,-7.283464567,-3.87755102,0,1.0,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.314516129,892.4966318086697,Con,108.21952020717261
A-3,Con,823.9999999,44.0,-2.47433112,-25.29711375,-25.42372881,1,1.0,1.0,1,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0,0,0,0,0.0,0,0,0.0,0.435483871,986.8728035413592,Con,40.131387641238604
A-41,Con,821.9999998,48.3,-3.703034234,-8.174904943,-8.174904943,0,1.0,0.5,1,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.5,0.0,1.0,0.75,0.5,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,0,0,0.0,0.362903226,911.1875360226225,Con,103.96262938322413
A-42,Con,821.9999998,51.4,-4.588843457,37.06666667,1.782178218,0,1.0,1.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.387096774,876.1626057483616,Con,126.11204087970457
A-43,Con,821.9999998,50.0,-4.188800582,2.669404517,-1.960784314,0,1.0,1.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.75,0.0,0.5,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0,0,0.0,0.427419355,876.4197025567004,Con,117.77276090665998
A-62,Con,821.9999998,37.7,-0.674138185,-10.23809524,-11.70960187,1,1.0,1.0,1,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.322580645,920.8527618475985,Con,45.42377074824414
A-63,Con,821.9999998,43.1,-2.217160701,-15.32416503,-8.686440678,0,1.0,0.5,1,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0,0,0,0,0.0,0,0,0.0,0.403225806,911.8951039741806,Con,103.98167668994626
