Mouse,Group,age_days,bw,bwSD,Body_Weight_Score,%twc,%rwc,Thresh_%rwc,Alopecia,Loss_of_fur_colour,Dermatitis,Loss_of_whiskers,Coat_condition,Tumours,Distended_abdomen,Kyphosis,Tail_stiffening,Gait_disorders,Tremor,Forelimb_grip_strength,Body_condition_score,Vestibular_disturbance,Hearing_loss,Cataracts,Corneal_capacity,Eye_discharge_swelling,Microphthalmia,Vision_loss,Menace_reflex,Nasal_discharge,malocclusion,Rectal_prolapse,Vaginal_uterine_penile_prolapse,Diarrhoea,Breathing_rate_depth,Mouse_grimace_scale,Piloerection,FI,FRIGHT_age,AFRAID_score
A-1,Con,823.9999999,48.4,-3.731608725,0.75,-3.777335984,0.207039337,0,0.5,0.5,0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0,0.0,0,0.5,0.5,1,0.419354839,891.0835318224423,116.44968194691585
A-101,Con,821.9999998,35.3,0.0116496,0.0,-30.51181102,-16.74528302,1,0.0,0.5,0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0,0.0,0,0.5,0.5,1,0.306451613,909.4805451490604,72.36187402551087
A-21,Con,821.9999998,38.8,-0.988457586,0.0,-8.274231678,-8.274231678,0,0.0,1.0,0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0.5,0.5,1,0.346774194,907.5650342988472,62.97176668637456
A-23,Con,821.9999998,47.1,-3.360140342,0.75,-7.283464567,-3.87755102,0,0.0,0.5,0,0.0,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0.0,0,0.5,0.5,1,0.314516129,888.6452501474485,73.1016100853875
A-3,Con,823.9999999,44.0,-2.47433112,0.5,-25.29711375,-25.42372881,1,0.5,1.0,0,0.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0.5,0.5,1,0.435483871,976.4952439813308,59.34808451250454
A-41,Con,821.9999998,48.3,-3.703034234,0.75,-8.174904943,-8.174904943,0,0.5,0.5,0,1.0,0.5,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0,0.0,0,0.5,0.5,1,0.362903226,908.3835176991057,76.56387933914667
A-42,Con,821.9999998,51.4,-4.588843457,1.0,37.06666667,1.782178218,0,0.0,0.5,0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0,0.0,0,0.5,0.5,1,0.387096774,869.0700993074008,114.69086489917053
A-43,Con,821.9999998,50.0,-4.188800582,1.0,2.669404517,-1.960784314,0,0.5,0.5,0,1.0,0.5,1.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0.5,0.5,1,0.427419355,866.5925439689777,113.17076346053828
A-62,Con,821.9999998,37.7,-0.674138185,0.0,-10.23809524,-11.70960187,1,0.0,0.5,0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0.0,0,0.5,0.5,1,0.322580645,898.4440798225162,96.83027265553669
A-63,Con,821.9999998,43.1,-2.217160701,0.5,-15.32416503,-8.686440678,0,0.5,1.0,0,0.5,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0,0.0,0,0.5,0.5,1,0.403225806,899.6382209225068,105.5711398704215
A-81,Con,821.9999998,38.5,-0.902734113,0.0,-15.93886463,-12.5,1,0.0,0.5,0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.5,0.5,1,0.35483871,885.8540577834908,112.68760025640637
